AnimalID,HitRateFirst,HitRateLast,FARFirst,FARLast
BLA00,0.983333333333333,0.95,0.966666666666667,0.183333333333333
BLA02,0.8,0.966666666666667,0.8,0.266666666666667
BLA03,0.983333333333333,0.95,0.95,0.233333333333333
BLA04,0.916666666666667,1,0.883333333333333,0.183333333333333
BLA06,0.869565217391304,1,0.872340425531915,0.366666666666667
BLA07,1,1,0.949152542372881,0.216666666666667
BLA08,0.933333333333333,1,0.966666666666667,0.333333333333333
BLA09,0.966666666666667,1,0.95,0.333333333333333
BLA10,0.95,1,0.966666666666667,0.3
BLA11,0.95,1,0.916666666666667,0.35
BLA12,0.833333333333333,0.95,0.933333333333333,0.283333333333333
BLA13,0.833333333333333,0.983333333333333,0.733333333333333,0.416666666666667
BLA15,0.466666666666667,1,0.5,0.483333333333333
BLA16,0.95,1,0.783333333333333,0.133333333333333
BLA17,0.866666666666667,0.966666666666667,0.883333333333333,0.305084745762712
vHPC07,1,0.983333333333333,0.966666666666667,0.366666666666667
vHPC08,0.966666666666667,1,0.966101694915254,0.266666666666667
